Arrival Time,order,wait,payment,Total Time
2024-04-23 19:00:57,62.0,21.0,137.0,220.0
2024-04-23 19:01:00,51.0,99.0,163.0,313.0
2024-04-23 19:01:28,83.0,169.0,224.0,476.0
2024-04-23 19:01:58,68.0,324.0,134.0,526.0
2024-04-23 19:04:06,100.0,353.0,37.0,490.0
2024-04-23 19:07:42,32.0,343.0,34.0,409.0
2024-04-23 19:04:58,76.0,294.0,38.0,408.0
2024-04-23 19:08:12,65.0,262.0,77.0,404.0
2024-04-23 19:07:33,69.0,264.0,119.0,452.0
2024-04-23 19:09:52,35.0,339.0,25.0,399.0
2024-04-23 19:10:32,68.0,290.0,43.0,401.0
2024-04-23 19:11:00,57.0,250.0,30.0,337.0
2024-04-23 19:13:13,32.0,239.0,44.0,315.0
2024-04-23 19:14:29,43.0,234.0,26.0,303.0
2024-04-23 19:15:52,43.0,210.0,68.0,321.0
2024-04-23 19:16:02,57.0,148.0,40.0,245.0
2024-04-23 19:16:03,37.0,145.0,46.0,228.0
2024-04-23 19:18:44,42.0,144.0,85.0,271.0
2024-04-23 19:17:45,87.0,137.0,52.0,276.0
2024-04-23 19:20:38,69.0,115.0,29.0,213.0
2024-04-23 19:20:45,64.0,77.0,219.0,360.0
2024-04-23 19:22:45,40.0,252.0,65.0,357.0
2024-04-23 19:25:04,42.0,265.0,120.0,427.0
2024-04-23 19:25:05,73.0,310.0,26.0,409.0
2024-04-23 19:25:54,62.0,270.0,84.0,416.0
2024-04-23 19:25:55,23.0,326.0,35.0,384.0
2024-04-23 19:28:06,66.0,288.0,32.0,386.0
2024-04-23 19:29:33,44.0,270.0,68.0,382.0
2024-04-23 19:30:44,104.0,226.0,27.0,357.0
2024-04-23 19:31:47,98.0,148.0,150.0,396.0
2024-04-23 19:32:33,25.0,268.0,88.0,381.0
2024-04-23 19:34:15,48.0,302.0,35.0,385.0
2024-04-23 19:34:37,29.0,299.0,23.0,351.0
2024-04-23 19:35:33,45.0,272.0,56.0,373.0
2024-04-23 19:36:59,28.0,295.0,24.0,347.0
2024-04-23 19:42:23,35.0,36.0,257.0,328.0
2024-04-23 19:42:44,50.0,234.0,31.0,315.0
2024-04-23 19:43:02,94.0,166.0,107.0,367.0
2024-04-23 19:44:10,42.0,226.0,52.0,320.0
2024-04-23 19:45:22,36.0,236.0,35.0,307.0
2024-04-23 19:48:39,43.0,121.0,103.0,267.0
2024-04-23 19:48:53,54.0,163.0,27.0,244.0
2024-04-23 19:49:29,134.0,51.0,191.0,376.0
2024-04-23 19:49:46,50.0,185.0,49.0,284.0
2024-04-23 19:50:48,109.0,121.0,170.0,400.0
2024-04-23 19:53:03,31.0,254.0,91.0,376.0
2024-04-23 19:53:19,49.0,292.0,31.0,372.0
2024-04-23 19:58:19,72.0,165.0,135.0,372.0
