Arrival Time,order,wait,payment,Total Time
2024-04-23 19:02:33,47.0,219.0,47.0,313.0
2024-04-23 19:03:27,187.0,45.0,68.0,300.0
2024-04-23 19:04:41,7.0,102.0,20.0,129.0
2024-04-23 19:06:50,70.0,50.0,57.0,177.0
2024-04-23 19:07:35,64.0,43.0,120.0,227.0
2024-04-23 19:09:08,50.0,113.0,53.0,216.0
2024-04-23 19:17:06,50.0,113.0,69.0,232.0
2024-04-23 19:17:28,50.0,113.0,41.0,204.0
2024-04-23 19:18:36,50.0,113.0,63.0,226.0
2024-04-23 19:19:19,50.0,113.0,94.0,257.0
2024-04-23 19:21:43,50.0,113.0,33.0,196.0
2024-04-23 19:22:08,50.0,113.0,137.0,300.0
2024-04-23 19:26:44,50.0,113.0,122.0,285.0
2024-04-23 19:27:52,50.0,113.0,50.0,213.0
2024-04-23 19:29:51,50.0,113.0,100.0,263.0
2024-04-23 19:30:42,50.0,113.0,73.0,236.0
2024-04-23 19:33:33,50.0,113.0,287.0,450.0
2024-04-23 19:33:37,50.0,113.0,41.0,204.0
2024-04-23 19:38:27,50.0,113.0,46.0,209.0
2024-04-23 19:40:00,50.0,113.0,92.0,255.0
2024-04-23 19:46:14,50.0,113.0,192.0,355.0
2024-04-23 19:46:54,50.0,113.0,40.0,203.0
2024-04-23 19:52:27,50.0,113.0,200.0,363.0
2024-04-23 19:55:52,50.0,113.0,317.0,480.0
2024-04-23 19:59:04,50.0,113.0,244.0,407.0
2024-04-23 20:09:02,50.0,113.0,481.0,644.0
2024-04-23 20:13:36,50.0,113.0,332.0,495.0
2024-04-23 20:17:09,50.0,113.0,136.0,299.0
2024-04-23 20:26:45,50.0,113.0,245.0,408.0
2024-04-23 20:29:11,50.0,113.0,250.0,413.0
2024-04-23 20:35:27,50.0,113.0,327.0,490.0
2024-04-23 20:40:58,50.0,113.0,279.0,442.0
2024-04-23 20:42:11,143.0,261.0,128.0,532.0
2024-04-23 20:49:05,143.0,261.0,72.0,476.0
2024-04-23 20:52:52,143.0,261.0,95.0,499.0
2024-04-23 20:52:57,143.0,261.0,334.0,738.0
2024-04-23 20:59:58,143.0,261.0,172.0,576.0
2024-04-23 21:01:27,143.0,261.0,326.0,730.0
2024-04-23 21:03:03,47.0,271.0,198.0,516.0
2024-04-23 21:04:13,26.0,421.0,22.0,469.0
2024-04-23 21:05:18,30.0,377.0,24.0,431.0
2024-04-23 21:06:37,73.0,279.0,27.0,379.0
2024-04-23 21:09:11,25.0,203.0,49.0,277.0
2024-04-23 21:12:37,40.0,29.0,240.0,309.0
2024-04-23 21:12:54,107.0,161.0,104.0,372.0
2024-04-23 21:20:10,35.0,11.0,142.0,188.0
2024-04-23 21:22:47,27.0,12.0,222.0,261.0
2024-04-23 21:23:56,45.0,148.0,207.0,400.0
2024-04-23 21:24:52,26.0,318.0,41.0,385.0
2024-04-23 21:26:30,25.0,268.0,60.0,353.0
2024-04-23 21:26:34,32.0,291.0,48.0,371.0
2024-04-23 21:33:13,24.0,12.0,116.0,152.0
2024-04-23 21:34:50,23.0,42.0,68.0,133.0
2024-04-23 21:38:55,63.0,18.0,262.0,343.0
2024-04-23 21:40:32,50.0,234.0,43.0,327.0
2024-04-23 21:40:51,52.0,224.0,25.0,301.0
2024-04-23 21:44:59,37.0,69.0,101.0,207.0
2024-04-23 21:48:26,52.0,10.0,371.0,433.0
2024-04-23 21:48:32,24.0,354.0,28.0,406.0
2024-04-23 21:51:25,18.0,269.0,22.0,309.0
2024-04-23 21:58:47,23.0,9.0,105.0,137.0
2024-04-23 22:03:58,58.0,13.0,282.0,353.0
2024-04-23 22:06:22,41.0,170.0,266.0,477.0
2024-04-23 22:12:56,41.0,43.0,218.0,302.0
2024-04-23 22:25:42,30.0,10.0,129.0,169.0
2024-04-23 22:37:39,25.0,12.0,238.0,275.0
2024-04-23 22:44:29,31.0,14.0,449.0,494.0
2024-04-23 22:45:12,38.0,410.0,35.0,483.0
2024-04-23 22:50:15,48.0,137.0,47.0,232.0
2024-04-23 22:55:45,36.0,11.0,248.0,295.0
2024-04-23 22:57:58,23.0,146.0,118.0,287.0
2024-04-23 23:03:57,61.0,11.0,271.0,343.0
2024-04-23 23:07:54,50.0,60.0,224.0,334.0
2024-04-23 23:10:20,24.0,168.0,248.0,440.0
2024-04-23 23:11:55,48.0,297.0,311.0,656.0
2024-04-23 23:14:05,74.0,457.0,157.0,688.0
2024-04-23 23:16:57,108.0,410.0,75.0,593.0
2024-04-23 23:18:53,31.0,450.0,60.0,541.0
2024-04-23 23:19:33,40.0,298.0,82.0,420.0
2024-04-23 23:23:09,157.0,214.0,46.0,417.0
2024-04-23 23:24:36,64.0,192.0,95.0,351.0
2024-04-23 23:26:57,61.0,225.0,77.0,363.0
2024-04-23 23:27:13,78.0,216.0,91.0,385.0
2024-04-23 23:30:09,18.0,252.0,189.0,459.0
2024-04-23 23:32:14,73.0,262.0,56.0,391.0
2024-04-23 23:36:51,43.0,82.0,324.0,449.0
2024-04-23 23:50:43,0,0,110.0,110.0
2024-04-23 23:50:43,29.0,79.0,46.0,154.0
2024-04-23 23:50:43,69.0,35.0,48.0,152.0
2024-04-23 23:53:24,69.0,35.0,337.0,441.0
2024-04-23 23:57:30,51.0,61.0,44.0,156.0
2024-04-23 23:59:54,51.0,61.0,248.0,360.0
2024-04-24 00:02:04,38.0,121.0,49.0,208.0
2024-04-24 00:04:52,38.0,121.0,496.0,655.0
2024-04-24 00:04:31,111.0,447.0,279.0,837.0
2024-04-24 00:06:24,66.0,660.0,62.0,788.0
2024-04-24 00:07:22,141.0,581.0,204.0,926.0
2024-04-24 00:10:07,21.0,757.0,34.0,812.0
2024-04-24 00:10:14,23.0,578.0,28.0,629.0
2024-04-24 00:10:41,193.0,329.0,203.0,725.0
2024-04-24 00:14:06,5.0,521.0,58.0,584.0
2024-04-24 00:16:20,65.0,325.0,27.0,417.0
2024-04-24 00:18:59,54.0,298.0,87.0,439.0
2024-04-24 00:23:17,19.0,364.0,49.0,432.0
2024-04-24 00:24:15,202.0,211.0,240.0,653.0
2024-04-24 00:26:26,60.0,392.0,138.0,590.0
2024-04-24 00:28:30,44.0,484.0,67.0,595.0
2024-04-24 00:29:07,66.0,484.0,116.0,666.0
2024-04-24 00:29:54,101.0,498.0,123.0,722.0
2024-04-24 00:31:33,46.0,449.0,46.0,541.0
2024-04-24 00:35:23,21.0,284.0,55.0,360.0
2024-04-24 00:38:20,47.0,292.0,33.0,372.0
2024-04-24 00:38:55,85.0,185.0,20.0,290.0
2024-04-24 00:43:49,9.0,108.0,44.0,161.0
2024-04-24 00:45:58,9.0,108.0,58.0,175.0
2024-04-24 00:48:47,9.0,108.0,117.0,234.0
2024-04-24 00:50:19,9.0,108.0,283.0,400.0
2024-04-24 00:52:01,9.0,108.0,184.0,301.0
2024-04-24 01:01:49,9.0,108.0,521.0,638.0
2024-04-24 01:02:51,9.0,108.0,88.0,205.0
2024-04-24 01:10:43,9.0,108.0,80.0,197.0
2024-04-24 01:16:58,9.0,108.0,152.0,269.0
2024-04-24 01:17:45,9.0,108.0,222.0,339.0
2024-04-24 01:21:58,15.0,60.0,48.0,123.0
2024-04-24 01:24:22,15.0,60.0,232.0,307.0
2024-04-24 01:26:45,15.0,60.0,132.0,207.0
2024-04-24 01:30:40,15.0,60.0,185.0,260.0
2024-04-24 01:32:53,15.0,60.0,80.0,155.0
2024-04-24 01:36:01,15.0,60.0,119.0,194.0
2024-04-24 01:38:44,15.0,60.0,72.0,147.0
2024-04-24 01:39:24,15.0,60.0,118.0,193.0
2024-04-24 01:42:32,15.0,60.0,234.0,309.0
2024-04-24 01:42:35,15.0,60.0,228.0,303.0
2024-04-24 01:46:34,15.0,60.0,76.0,151.0
2024-04-24 01:47:44,158.0,69.0,41.0,268.0
2024-04-24 01:52:43,158.0,69.0,191.0,418.0
2024-04-24 01:53:06,158.0,69.0,44.0,271.0
2024-04-24 01:56:21,158.0,69.0,119.0,346.0
2024-04-24 01:58:03,15.0,40.0,160.0,215.0
2024-04-24 02:01:05,61.0,61.0,73.0,195.0
2024-04-24 02:03:21,61.0,61.0,121.0,243.0
